#############################
# Asia
#
# note: australia is listed in pacific (oceania)
# note: kazakhstan is listed here (not europe/uefa)


kaz, Football Federation of Kazakhstan, 1914,   KAZ, kz, fifa|uefa,  www.kff.kz   ## Kazakhstan


# AFC (Asian Football Confederation), 4 sub-federations
#  46+1 members


#########################################################
# CSAFF (Central and South Asian Football Federation)
# - 12 members

afg, Afghanistan Football Federation, 1922, AFG, af, fifa|afc|csaff, www.aff.org.af  ## Afghanistan
ban, Bangladesh Football Federation,  1972, BAN, bd, fifa|afc|csaff, www.bff.com.bd  ## Bangladesh
bhu, Bhutan Football Federation, 1983,    BHU, bt, fifa|afc|csaff     ## Bhutan
ind, All India Football Federation,  1937,  IND, in, fifa|afc|csaff,  www.the-aiff.com   ## India
kgz, Kyrgyzstan,   KGZ, kg, fifa|afc|csaff
mdv, Maldives,    MDV, mv, fifa|afc|csaff
nep, Nepal,       NEP, np, fifa|afc|csaff
pak, Pakistan,    PAK, pk, fifa|afc|csaff
sri, Sri Lanka,   SRI, lk, fifa|afc|csaff
tjk, Tajikistan,   TJK, tj, fifa|afc|csaff
tkm, Turkmenistan, TKM, tm, fifa|afc|csaff 
uzb, Uzbekistan,   UZB, uz, fifa|afc|csaff


#########################################
# EAFF (East Asian Football Federation)
# - 10 members

chn, China,        CHN, cn, fifa|afc|eaff
hkg, Hong Kong,    HKG, hk, fifa|afc|eaff
jpn, Japan,        JPN, jp, fifa|afc|eaff
prk, North Korea,  PRK, kp, fifa|afc|eaff
kor, South Korea,  KOR, kr, fifa|afc|eaff
mac, Macau|Macao,  MAC, mo, fifa|afc|eaff
mgl, Mongolia,     MGL, mn, fifa|afc|eaff
tpe, Taiwan,       TPE, tw, fifa|afc|eaff

# note: member Guam listed in pacific
# note: member Northern Mariana Islands listed in pacific
# note: candidate member Palau listed in pacific


####################################################################
# AFF (Association of South East Asian Nations Football Federation)
# - 12 members

bru, Brunei,      BRU, bn,  fifa|afc|aff
cam, Cambodia,    CAM, kh,  fifa|afc|aff
idn, Indonesia,   IDN, id,  fifa|afc|aff
lao, Laos,        LAO, la,  fifa|afc|aff
mas, Malaysia,    MAS, my,  fifa|afc|aff
mya, Myanmar,     MYA, mm,  fifa|afc|aff
phi, Philippines, PHI, ph,  fifa|afc|aff
sin, Singapore,   SIN, sg,  fifa|afc|aff
tha, Thailand,    THA, th,  fifa|afc|aff
tls, Timor-Leste|East Timor, TLS, tl,  fifa|afc|aff
vie, Vietnam,     VIE, vn,  fifa|afc|aff

# note: member Australia listed in pacific

