#######################
# Europe

# note: uefa members Israel listed in Middle East n Kazakhstan listed in Asia


############
# UEFA (Union of European Football Associations)
# - 54 members


aut, Österreichischer Fußball-Bund,     AUT, at, fifa|uefa  ## Austria
bel, Koninklijke Belgische Voetbalbond, BEL, be, fifa|uefa  ## Belgium
cyp, Cyprus Football Association,       CYP, cy, fifa|uefa  ## Cyprus
ger, Deutscher Fußball-Bund,          GER, de, fifa|uefa    ## Germany
est, Eesti Jalgpalli Liit,          EST, ee, fifa|uefa  ## Estonia
esp, Real Federación Española de Fútbol,  ESP, es, fifa|uefa   ## Spain
fin, Suomen Palloliitto,          FIN, fi, fifa|uefa   ## Finland
fra, Fédération Française de Football,  FRA, fr, fifa|uefa  ## France
gre, Hellenic Football Federation,           GRE, gr, fifa|uefa  ## Greece
irl, Football Association of Ireland,        IRL, ie, fifa|uefa  ## Ireland
ita, Federazione Italiana Giuoco Calcio,     ITA, it, fifa|uefa  ## Italy
lux, Fédération Luxembourgeoise de Football, LUX, lu, fifa|uefa  ## Luxembourg
mlt, Malta Football Association,            MLT, mt, fifa|uefa   ## Malta
ned, Koninklijke Nederlandse Voetbalbond,   NED, nl, fifa|uefa   ## Netherlands
por, Federação Portuguesa de Futebol,       POR, pt, fifa|uefa   ## Portugal
svk, Slovenský Futbalový Zväz,         SVK, sk, fifa|uefa   ## Slovakia
svn, Nogometna Zveza Slovenije,        SVN, si, fifa|uefa   ## Slovenia
bul, Bulgarian Football Union,   BUL, bg, fifa|uefa    ## Bulgaria
den, Dansk Boldspil-Union,   DEN, dk, fifa|uefa   ## Denmark
lva, Latvijas Futbola Federācija,   LVA, lv, fifa|uefa   ## Latvija|Latvia
ltu, Lietuvos Futbolo Federacija,   LTU, lt, fifa|uefa   ## Lithuania
pol, Polski Związek Piłki Nożnej,   POL, pl, fifa|uefa   ## Poland
rou, Federaţia Română de Fotbal,    ROU, ro, fifa|uefa   ## Romania
swe, Svenska Fotbollförbundet,      SWE, se, fifa|uefa   ## Sweden
cze, Fotbalová Asociace České Republiky,   CZE, cz, fifa|uefa  ## Czech Republic
hun, Magyar Labdarúgó Szövetség,          HUN, hu, fifa|uefa   ## Hungary


and, Federació Andorrana de Futbol,    AND, ad, fifa|uefa   ## Andorra
alb, Federata Shqiptare e Futbollit,   ALB, al, fifa|uefa   ## Albania
blr, Football Federation of Belarus,   BLR, by, fifa|uefa   ## Belarus
sui, Association Suisse de Football,   SUI, ch, fifa|uefa   ## Switzerland
cro, Hrvatski Nogometni Savez,     CRO, hr, fifa|uefa   ## Croatia
srb, Fudbalski Savez Srbije,      SRB, rs, fifa|uefa   ## Serbia
rus, Russian Football Union,      RUS, ru, fifa|uefa   ## Russia
tur, Türkiye Futbol Federasyonu,  TUR, tr, fifa|uefa   ## Turkey
ukr, Football Federation of Ukraine,  UKR, ua, fifa|uefa   ## Ukraine
mkd, Fudbalska Federacija na Makedonija,   MKD, mk, fifa|uefa  ## Macedonia
nor, Norges Fotballforbund,      NOR, no, fifa|uefa     ## Norway
isl, Knattspyrnusamband Íslands,   ISL, is, fifa|uefa   ## Iceland

bih, Nogometni/Fudbalski Savez Bosne i Hercegovine, BIH, ba, fifa|uefa   ## Bosnia-Herzegovina
lie, Liechtensteiner Fußballverband,          LIE, li, fifa|uefa    ## Liechtenstein
mne, Fudbalski Savez Crne Gore,               MNE, me, fifa|uefa    ## Montenegro
mda, Federaţia Moldovenească de Fotbal,       MDA, md, fifa|uefa    ## Moldova
smr, Federazione Sammarinese Giuoco Calcio,   SMR, sm, fifa|uefa    ## San Marino

geo, Georgian Football Federation,    GEO, ge, fifa|uefa   ## Georgia
arm, Football Federation of Armenia,  ARM, am, fifa|uefa   ## Armenia
aze, Azərbaycan Futbol Federasiyaları Assosiasiyası,   AZE, az, fifa|uefa  ## Azerbaijan

###
# fix: use three-letter country codes e.g. use eng,wal,nir,sco,etc.!!!
eng, The Football Association,    ENG, en, fifa|uefa  ## England
sco, Scottish Football Association,  SCO, sc, fifa|uefa  ## Scotland
wal, Football Association of Wales,    WAL, wa, fifa|uefa  ## Wales
nir, Irish Football Association, NIR, nd, fifa|uefa   ## Northern Ireland


fro, Fótbóltssamband Føroya,  FRO, fo, fifa|uefa  ## Faroe Islands


gib, Gibraltar Football Association,   GIB, gi, uefa   # Gibraltar - note: not a FIFA member
